Plant ID,Plant latin name,Cultivation entry ID,Cultivation entry name,Detail page ID,BRAND,Propagation,Preferred growing condition,"Sowing, planting and nursery management",Fertilization,Field management,Prevention and control of plant diseases and pests,Harvest and post-harvest processing,Yield,REFERENCE_DATA,Reference data file,Table of characteristic properties,Crop calendar,Cultivation Photo,Memo,Memo file,Cultivation photo count,Cultivation photo files
24,Achyranthes fauriei Lév. et Vaniot,27,Plant culture,27,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,9,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
77,Aconitum carmichaeli Debeaux,76,Plant culture,76,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,10,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
51,Angelica acutiloba Kitagawa,29,Plant culture,29,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,7,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
52,Angelica acutiloba var. sugiyamae Hikino,30,Plant culture,30,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,7,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
55,Angelica dahurica (Fisch.) Benth. et Hook. fil.,75,Plant culture,75,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,12,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
5,Arctostaphylos uva-ursi (Linne) Sprengel,43,Plant culture,43,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,8,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
101,Artemisia annua L.,46,Plant culture,46,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,14,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
3,Artemisia capillaris Thunberg,49,Plant culture,49,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,12,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
6,Astragalus membranaceus Bunge,36,Plant culture,36,,,,,,,,,,,,,,,,,,
48,Atractylodes lancea De Candole,24,Plant culture,24,,,,,,,,,,,,,,,,,,
57,Atractylodes ovata DC.,31,Plant culture,31,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,8,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
28,Bupleurum falcatum L.,7,Plant culture,7,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,7,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
23,Carthamus tinctorius L.,19,Plant culture,19,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,7,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
46,Cassia angustifolia Vahl,61,Plant culture,61,,,,,,,,,,,,,,,,,,
20,Cassia obtusifolia L.,20,Plant culture,20,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,6,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
45,Cnidium officinale Makino,33,Plant culture,33,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,7,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
65,Coix lacryma-jobi L. var. ma-yuen Stapf,62,Plant culture,62,,,,,,,,,,,,,,,,,,
10,Coptis japonica Makino var. dissecta Nakai,6,Plant culture,6,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,7,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
31,Crocus sativus Linne,17,Plant culture,17,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,8,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
74,Curcuma longa L.,64,Plant culture,64,,,,,,,,,,,,,,,,,,
13,Curcuma zedoaria (Christ.) Roscoe,52,Plant culture,52,,,,,,,,,,,,,,,,,,
61,"Ephedra intermedia Schrenk et C.A.May., Ephedra sinica Stapf, Ephedra equisetina Bunge",13,Plant culture,13,,,,,,,,,,,,,,,,,,
4,Foeniculum vulgar Miller,39,Plant culture,39,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,9,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
32,Gardenia jasminoides Ellis,10,Plant culture,10,,,,,,,,,,,,,,,,,,
21,Gentiana lutea Linne,37,Plant culture,37,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,10,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
22,Geranium thunbergii Siebold et Zuccarini,47,Plant culture,47,,,,,,,,,,,,,,,,,,
83,Glechoma hederacea Linn. subsp. grandis (A. Gray) Hara,45,Plant culture,45,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,10,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
17,Glycyrrhiza glabra Linne,26,Plant culture,26,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,12,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
16,Glycyrrhiza uralensis Fisher,22,Plant culture,22,,,,,,,,,,,,,,get_image.cgi,,,1,get_image.cgi
42,Houttuynia cordata Thunb.,71,Plant culture,71,,,,,,,,,,,,,,,,,,
39,Lithospermum erythrorhizon Siebold et Zucc.,35,Plant culture,35,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,7,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
76,Lycium chinense Mill.,78,Plant culture,78,,,,,,,,,,,,,,,,,,
80,Matricaria chamomilla L.,50,Plant culture,50,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,8,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
40,Paeonia lactiflora Pallas,23,Plant culture,23,,,,,,,,,,,,,,get_image.cgi,,,1,get_image.cgi
53,Panax ginseng C. A. Mey.,34,Plant culture,34,,,,,,,,,,,,,,get_image.cgi; get_image.cgi,,,2,"get_image.cgi, get_image.cgi"
102,Patrinia scabiosaefolia Fisch.,67,Plant culture,67,,,,,,,,,,,,,,,,,,
49,Perilla frutescens (L.) Britton var. acuta Kudo,8,Plant culture,,,,,,,,,,,,,,,,,,,
8,Phellodendron amurense Ruprecht,42,Plant culture,42,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,20,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
54,Pinellia ternata Breitenb.,40,Plant culture,40,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,11,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
41,Plantago asiatica Ｌ．,15,Plant culture,15,,,,,,,,,,,,,,,,,,
18,Platycodon glandiflorum (Jacq.) A. DC.,18,Plant culture,18,,"キキョウの栽培法には播種及び株分けの２法があるが,薬用には播種法が行われる． 種子は８月下旬から９月上旬の成熟期に,果実が黄変し,先端が割れ始めた頃採種 し，調製乾燥して保管する．保管方法は空調の良い場所でそのまま保存する方法と 乾燥した細土と混合し，容器に入れて軒下などに埋めて保存する方法とがある．翌 春，播種する．",,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,6,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
81,Plectranthus japonicus (Burm. fil.) Koidzumi,70,Plant culture,70,,,,,,,,,,,,,,,,,,
44,Polygala senega L. var. latifolia Torr. et A. Gray,48,Plant culture,48,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,12,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
12,Prunella vulgaris L. var. lilacina (Nakai) Nakai,56,Plant culture,56,,,,,,,,,,,,,,,,,,
79,Rauwolfia serpentina Benth. ex Kurz,65,Plant culture,65,,,,,,,,,,,,,,,,,,
38,Rehmannia glutiosa Libosch. f. hueichingensis (Chao et Schih) Hsiao,5,Plant culture,5,,,,,,,,,,,,,,get_image.cgi,,,1,get_image.cgi
37,Rehmannia glutiosa Libosch. var. purpurea Makino,4,Plant culture,4,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,5,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
50,Rheum palmatum Linne,28,Plant culture,28,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,8,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
59,Saposhnikovia divaricata Schischkin,38,Plant culture,38,,,,,,,,,,,,,,,,,,
64,Saussurea lappa Clarke,44,Plant culture,44,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,11,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
19,Schizonepeta tenuifolia Briq.,16,Plant culture,16,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,6,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
7,Scutellaria baicalensis Georgi,1,Plant culture,1,,,,,,,,,,Oxygen Radical Absorbance Capacity (ORAC),コガネバナ植物体のORAC値.pdf,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,11,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
47,Swertia japonica Makino,79,Plant culture,79,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,13,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
15,Trichosanthes bracteata (Lam.) Voigt,55,Plant culture,55,,,,,,,,,,,,,,,,,,
67,Uncaria rhynchophylla (Miq.) Miq.,59,Plant culture,59,,,,,,,,,,,,,,,,,,
14,Valeriana fauriei Briquet,41,Plant culture,41,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,10,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
34,Zanthoxylum piperitum (L.) DC.,74,Plant culture,74,,,,,,,,,,,,,,,,,,
105,Zingiber officinale Roscoe,69,Plant culture,69,,,,,,,,,,,,,,,,,,
