"ID",Plant latin name,Family name,Common name,Crude drug latin name,Class of Coldness,Class of Warmness,Light condition,Preference of Soil,Requirement of Shading
131,Acacia senegal Willdenow,Leguminosae,,GUMMI ARABICUM,,,,,
25,Achyranthes bidentata Blume,Amaranthaceae,Two toothed chaff flower,ACHYRANTHIS RADIX,III 〜 V,65 〜 170,II 〜 V,,
24,Achyranthes fauriei Lév. et Vaniot,Amaranthaceae,Japanese chaff flower,ACHYRANTHIS RADIX,III 〜 V,65 〜 170,II 〜 V,,
77,Aconitum carmichaeli Debeaux,Ranunculaceae,,ACONITI RADIX,I～IV,45～100,I～III,,
78,Aconitum japonicum Thunb.,Ranunculaceae,,ACONITI RADIX,I～IV,45～100,I～III,,
62,Akebia quinata Decne.,Lardizabalaceae,"Chocolate vine, Five leaf akebia",AKEBIAE CAULIS,,,,,
63,Akebia trifoliata Koidz.,Lardizabalaceae,Three leaf akebia,AKEBIAE CAULIS,,,,,
172,Alisma orientale Juzepczuk,Alismataceae,,ALISMATIS RHIZOMA,,,,,
150,Aloe africana Miller,Liliaceae,Aloe,ALOE,,,,,
149,Aloe ferox Miller,Liliaceae,Aloe,ALOE,,,,,
151,Aloe spicata Baker,Liliaceae,Aloe,ALOE,,,,,
130,Alpinia officinarum Hance,Zingiberaceae,,ALPINIAE OFFICINARI RHIZOMA,,,,,
203,Amomum xanthioides,Zingiberaceae,,AMOMI SEMEN,,,,,
173,Anemarrhena asphodeloides Bunge,Liliaceae,,ANEMARRHENAE RHIZOMA,,,,,
51,Angelica acutiloba Kitagawa,Umbelliferae,Japanese angelica,ANGELICAE RADIX,II～V,55～120,II～IV,,
52,Angelica acutiloba var. sugiyamae Hikino,Umbelliferae,Japanese angelica,ANGELICAE RADIX,II～V,55～120,II～IV,,
55,Angelica dahurica (Fisch.) Benth. et Hook. fil.,Umbelliferae,,ANGELICAE DAHURICAE RADIX,Ⅰ～Ⅴ,55～140,Ⅱ～Ⅳ,,
170,Angelica decursiva Franchet et Savatier (Peucedanum decursivum Maximowicz),Umbelliferae,,PEUCEDANI RADIX,,,,,
187,Apis cerana Fabricius,Apidae,,APILAC,,,,,
186,Apis mellifera Linné,Apidae,,APILAC,,,,,
120,Aralia cordata Thunberg,Araliaceae,,ARALIAE CORDATAE RHIZOMA,,,,,
118,Arctium lappa Linné,Compositae,,ARCTII FRUCTUS,,,,,
5,Arctostaphylos uva-ursi (Linne) Sprengel,Ericaceae,Bearberry,UVAE URSI FOLIUM,I〜II,90未満,II〜IV,,
127,Areca catechu Linné,Palmae,,ARECAE SEMEN,,,,,
101,Artemisia annua L.,Compositae,Sweet wormwood,ARTEMISIAE CHING-HAO HERBA,II〜V,65〜170,II〜V,,
3,Artemisia capillaris Thunberg,Compositae,Fragrant wormwood,ARTEMISIAE CAPILLARIS FLOS,III〜VI,75以上,II〜V,,
154,Artemisia montana Pampanini,Compositae,Artemisia Leaf,ARTEMISIAE FOLIUM,,,,,
153,Artemisia princeps Pampanini,Compositae,Artemisia Leaf,ARTEMISIAE FOLIUM,,,,,
30,Asiasarum heterotropoides (F. Schmidt) F. Maekawa var. mandshuricum F. Maekawa = Asarum heterotropoides F. Schmidt var. mandshuricum (Maxim.) Kitagawa,Aristolochiaceae,,ASIASARI RADIX,II 〜 IV,55 〜 140,II 〜 V,,
29,Asiasarum sieboldii (Miq.) F. Maekawa = Asarum sieboldii Miq.,Aristolochiaceae,Siebold’s wild ginger,ASIASARI RADIX,II 〜 IV,55 〜 140,II 〜 V,,
6,Astragalus membranaceus Bunge,Leguminosae,Membranous milk vetch,ASTRAGALI RADIX,I〜IV,45〜120,II〜V,,
202,Astragalus mongholicus Bunge,Leguminosae,Membranous milk vetch,ASTRAGALI RADIX,,,,,
56,Atractylodes japonica Koidzumi ex Kitamura,Compositae,,ATRACTYLODIS RHIZOMA,I～IV,55～120,II～IV,,
48,Atractylodes lancea De Candole,Compositae,,ATRACTYLODIS LANCEAE RHIZOMA,I～IV,55～120,II～IV,,
57,Atractylodes ovata DC.,Compositae,,ATRACTYLODIS RHIZOMA,I～IV,55～120,II～IV,,
126,Atropa belladonna Linné,Solanaceae,,BELLADONNAE RADIX,,,,,
167,Bufo bufo gargarizans Cantor,Bufonidae,,BUFONIS VENENUM,,,,,
168,Bufo melanostictus Schneider,Bufonidae,,BUFONIS VENENUM,,,,,
28,Bupleurum falcatum L.,Umbelliferae,Hare’s ear root,BUPLEURI RADIX,III～V,75～170,III,,
69,Cannabis sativa L.,Cannabaceae,"Hemp, Cannabis",CANNABIS FRUCTUS,I〜IV,55～170,II～V,,
176,Capsicum annuum Linné,Solanaceae,chile pepper,CAPSICI FRUCTUS,,,,,
23,Carthamus tinctorius L.,Compositae,Safflower,CARTHAMI FLOS,I～III,45～100,II～IV,,
46,Cassia angustifolia Vahl,Leguminosae,Tinnevelly senna,SENNAE FOLIUM,VI,170以上,"IV, V",,
20,Cassia obtusifolia L.,Leguminosae,Sicklepod (Chinese senna),CASSIAE SEMEN,IV～VI,100以上,"III, IV",,
108,"Catalpa ovata G. Don , Catalpa bungei C. A. Meyer",Bignoniaceae,,CATALPAE FRUCTUS,,,,,
98,Cephaelis ipecacuanha (Brot.) A. Rich.,Rubiaceae,Ipecac,IPECACUANHAE RADIX,VI,170以上,I,,
156,Chrysanthemum indicum Linné,Compositae,Chrysanthemum Flower,CHRYSANTHEMI FLOS,,,,,
155,Chrysanthemum morifolium Ramatulle,Compositae,Chrysanthemum Flower,CHRYSANTHEMI FLOS,,,,,
43,Cimicifuga simplex Wormsk.,Ranunclaceae,Kamchatkan bugbane,CIMICIFUGAE RHIZOMA,I～IV,45～120,I～III,,
104,Cinnamomum cassia Blume,Lauraceae,Cinnamon bark,CINNAMOMI CORTEX,,,,,
179,Citrus aurantium Linné,Rutaceae,,"AURANTII PERICARPIUM, AURANTII FRUCTUS IMMATURUS",,,,,
180,Citrus aurantium Linné var. daidai Makino,Rutaceae,,"AURANTII PERICARPIUM, AURANTII FRUCTUS IMMATURUS",,,,,
197,Citrus natsudaidai Hayata,Rutaceae,,AURANTII FRUCTUS IMMATURUS,,,,,
175,Citrus reticulata Blanco,Rutaceae,,AURANTII NOBILIS PERICARPIUM,,,,,
174,Citrus unshiu Marcowicz,Rutaceae,,AURANTII NOBILIS PERICARPIUM,,,,,
194,Clematis chinensis Osbeck,Ranunculaceae,,CLEMATIDIS RADIX,,,,,
196,Clematis hexapetala Pallas,Ranunculaceae,,CLEMATIDIS RADIX,,,,,
195,Clematis mandshurica Ruprecht,Ranunculaceae,,CLEMATIDIS RADIX,,,,,
166,Cnidium monnieri Cusson,Umbelliferae,Cnidium Monnieri Fruit,CNIDII MONNIERIS FRUCTUS,,,,,
45,Cnidium officinale Makino,Umbelliferae,,CNIDII RHIZOMA,I〜III,45〜90,"II, III",,
65,Coix lacryma-jobi L. var. ma-yuen Stapf,Gramineae,Job’s tears,COICIS SEMEN,II～VI,65～170,II～V,,
141,Coptis chinensis,Ranunclaceae,,COPTIDIS RHIZOMA,,,,,
142,Coptis deltoidea,Ranunclaceae,,COPTIDIS RHIZOMA,,,,,
10,Coptis japonica Makino var. dissecta Nakai,Ranunclaceae,,COPTIDIS RHIZOMA,II〜IV,75〜140,II〜IV,,
9,Coptis japonica Makino var. japonica Satake,Ranunclaceae,,COPTIDIS RHIZOMA,,,,,
11,Coptis japonica Makino var. major Satake,Ranunclaceae,,COPTIDIS RHIZOMA,,,,,
139,Coptis teeta,Ranunclaceae,,COPTIDIS RHIZOMA,,,,,
33,Cornus officinalis Siebold et Zucc.,Cornaceae,Dogwood tree,CORNI FRUCTUS,II～IV,55〜140,I～III,,
91,Corydalis turtschaninovii Besser forma yanhusuo Y.H.Chou et C.C.Hsu,Papaveraceae,,CORYDALIS TUBER,,,,,
163,Crataegus cuneata Siebold et Zuccarini,Rosaceae,Crataegus Fruit,CRATAEGI FRUCTUS,,,,,
164,Crataegus pinnatifida Bunge var. major N. E. Brown,Rosaceae,Crataegus Fruit,CRATAEGI FRUCTUS,,,,,
31,Crocus sativus Linne,Iridaceae,,CROCUS,III〜V,75〜170,II〜IV,,
74,Curcuma longa L.,Zingiberaceae,Turmeric,CURCUMAE RHIZOMA,Ⅳ～Ⅵ,110以上,Ⅲ～Ⅴ,,
13,Curcuma zedoaria (Christ.) Roscoe,Zingiberaceae,Zedoary,ZEDOARIAE RHIZOMA,Ⅳ～Ⅵ,140～170,"Ⅳ,Ⅴ",,
200,Curcuma zedoaria (Christ.) Roscoe,Zingiberaceae,Zedoary,,Ⅳ～Ⅵ,140～170,"Ⅳ,Ⅴ",,
201,Curcuma zedoaria (Christ.) Roscoe,Zingiberaceae,Zedoary,,Ⅳ～Ⅵ,140～170,"Ⅳ,Ⅴ",,
107,Digenea simplex C. Agardh,Rhodomelaceae,,DIGENEA,,,,,
96,Digitalis purpurea L.,Scrophulariaceae,Digitalis,DIGITALIS,Ｉ～Ｖ,45〜130,II～IV,,
36,Dioscorea batatas Decne.,Dioscoreaceae,Chinese yam,DIOSCOREAE RHIZOMA,II～IV,55〜170,II〜IV,,
35,Dioscorea japonica Thunb.,Dioscoreaceae,Japanese yam,DIOSCOREAE RHIZOMA,III～IV,65〜170,II〜IV,,
183,Dolichos lablab Linné,Leguminosae,,DOLICHI SEMEN,,,,,
165,Eleutherococcus senticosus Maximowicz,Araliaceae,Eleutherococcus Senticosus Rhizome,ELEUTHEROCOCCI SENTICOSI RHIZOMA,,,,,
61,"Ephedra intermedia Schrenk et C.A.May., Ephedra sinica Stapf, Ephedra equisetina Bunge",Ephedraceae,Ephedra (Ma Huang),EPHEDRAE HERBA,Ｉ～Ｖ,170未満,III～V,,
71,Epimedium cremeum Nakai,Berberidaceae,,EPIMEDII HERBA,Ⅰ～Ⅴ,55～140,II～IV,,
72,Epimedium grandiflorum Morr. var. thunbergianum (Miq.) Nakai,Berberidaceae,,EPIMEDII HERBA,II〜IV,55〜120,II，III，IV,,
70,Epimedium sagittatum (Siebold et Zucc.) Maxim.,Berberidaceae,,EPIMEDII HERBA,Ⅰ～Ⅴ,55～140,II～IV,,
73,Epimedium sempervirens Nakai,Berberidaceae,,EPIMEDII HERBA,II〜IV,55〜120,II，III,,
182,Eriobotrya japonica Lindley,Rosaceae,Loquat,ERIOBOTRYAE FOLIUM,,,,,
199,Euphoria longana Lamarck,Sapindaceae,,LONGAN ARILLUS,,,,,
27,Evodia officinalis Dode,Rutaceae,,,Ⅳ，Ⅴ,100～170,Ⅲ～Ⅳ,,
26,Evodia rutaecarpa (Juss.) Benth.,Rutaceae,Medicinal evodia,EVODIAE FRUCTUS,Ⅳ，Ⅴ,100～170,Ⅲ～Ⅳ,,
4,Foeniculum vulgar Miller,Umbelliferae,Fennel,FOENICULI FRUCTUS,II〜Ⅴ,55〜170,II〜V,,
192,Forsythia suspensa Vahl,Oleaceae,,FORSYTHIAE FRUCTUS,,,,,
193,Forsythia viridissima Lindley,Oleaceae,,FORSYTHIAE FRUCTUS,,,,,
68,Fritillaria verticillata Willd. var. thunbergii Baker,Liliaceae,Fritillary,FRITILLARIAE BULBUS,Ｉ～Ｖ,55以上,II～V,,
32,Gardenia jasminoides Ellis,Rubiaceae,"Common gardenia, Cape jasmine",GARDENIAE FRUCTUS,Ⅳ～Ⅵ,110以上,Ⅲ以上,,
121,Gastrodia elata Blume,Orchidaceae,,GASTRODIAE TUBER,,,,,
21,Gentiana lutea Linne,Gentianaceae,Gentian,GENTIANAE RADIX,I〜II,90未満,II〜IV,,
137,Gentiana scabra Bunge，Gentiana manshurica Kitagawa,Gentianaceae,,GENTIANAE SCABRAE RADIX,,,,,
138,Gentiana triflora Pallas,Gentianaceae,,GENTIANAE SCABRAE RADIX,,,,,
22,Geranium thunbergii Siebold et Zuccarini,Geraniaceae,,GERANII HERBA,III〜VI,75〜170,II〜V,,
83,Glechoma hederacea Linn. subsp. grandis (A. Gray) Hara,Labiatae,,,I〜VI,45〜170,II〜V,,
100,Glehnia littoralis Fr. Schmidt ex Miquel,Umbelliferae,,,,,,,
17,Glycyrrhiza glabra Linne,Leguminosae,Licorice,GLYCYRRHIZAE RADIX,I～IV,140未満,Ｉ～Ｖ,,
16,Glycyrrhiza uralensis Fisher,Leguminosae,Licorice,GLYCYRRHIZAE RADIX,I～IV,130未満,Ｉ～Ｖ,,
190,Hordeum vulgare Linné,Gramineae,Barley,FRUCTUS HORDEI GARMINATUS,,,,,
42,Houttuynia cordata Thunb.,Saururaceae,"Chinese lizard tail, Fish mint",HOUTTUYNIAE HERBA,Ⅱ～Ⅵ,65以上,Ⅱ～Ⅴ,,
2,Hydrangea macrophylla (Thunb.) Ser. var. thunbergii (Siebold) Makino,Saxifragaceae,"Hortensia, French hydrangea",HYDRANGEAE DULCIS FOLIUM,II,90 〜 100,II 〜 III,,
146,Ipomoea batatas Poiret,Convolvulaceae,sweet potato,KOI,,,,,
162,Isodon trichocarpus Kudo,Labiatae,,PLECTRANTHI HERBA,,,,,
128,Leonurus japonicus Houttuyn,Labiatae,,LEONURI HERBA,,,,,
129,Leonurus sibiricus Linné,Labiatae,,LEONURI HERBA,,,,,
124,Lilium brownii F. E. Brown,Liliaceae,,LILII BULBUS,,,,,
123,Lilium brownii F. E. Brown var. colchesteri Wilson,Liliaceae,,LILII BULBUS,,,,,
122,Lilium lancifolium Thunberg，,Liliaceae,,LILII BULBUS,,,,,
125,Lilium pumilum De Candolle,Liliaceae,,LILII BULBUS,,,,,
75,Lindera strychnifolia (Siebold et Zucc.) F. Vill.,Lauraceae,Combined spicebush,LINDERAE RADIX,Ⅳ～Ⅵ,110以上,Ⅲ～Ⅴ,,
39,Lithospermum erythrorhizon Siebold et Zucc.,Boraginaceae,"Red-root lithospermum, Puccoon",LITHOSPERMI RADIX,I～IV,65～120,II～IV,,
185,Lonicera japonica Thunberg,Caprifoliaceae,,LONICERAE FOLIUM CUM CAULIS,,,,,
76,Lycium chinense Mill.,Solanaceae,"Chinese matrimony vine, Chinese wolfberry",LYCII FRUCTUS,II～VI,65以上,II～V,,
114,Magnolia biondii Pampanini,Magnoliaceae,,MAGNOLIAE FLOS,,,,,
116,Magnolia heptapeta Dandy (Magnolia denudata Desrousseaux),Magnoliaceae,,MAGNOLIAE FLOS,,,,,
113,Magnolia kobus De Candolle,Magnoliaceae,,,,,,,
94,Magnolia obovata Thunb.,Magnoliaceae,Japanese umbrella tree,MAGNOLIAE CORTEX,II～IV,55〜140,I～III,,
112,Magnolia salicifolia Maximowicz,Magnoliaceae,,MAGNOLIAE FLOS,,,,,
115,Magnolia sprengeri Pampanini,Magnoliaceae,,MAGNOLIAE FLOS,,,,,
1,Mallotus japonicus (Thunb.) Müll. Arg.,Euphorbiaceae,Japanese mallotus,MALLOTI CORTEX,Ⅳ～Ⅵ,100以上,Ⅱ以上,,
144,Manihot esculenta Crantz,Euphorbiaceae,Cassava,KOI,,,,,
80,Matricaria chamomilla L.,Compositae,German chamomile,CHAMOMILLAE FLOS,Ｉ～Ｖ,55～170,II～IV,,
191,Mentha arvensis Linné var. piperascens Malinvaud,Labiatae,Japanese Peppermint,MENTHAE HERBA,,,,,
184,Myristica fragrans Houttuyn,Myristicaceae,Nutmeg,MYRISTICAE SEMEN,,,,,
117,Notopterygium forbesii Boissieu,Umbelliferae,,NOTOPTERYGII RHIZOMA,,,,,
110,Notopterygium incisum Ting ex H. T. Chang,Umbelliferae,,NOTOPTERYGII RHIZOMA,,,,,
181,Ophiopogon japonicus Ker-Gawler,Liliaceae,,OPHIOPOGONIS TUBER,,,,,
147,Oryza sativa Linné,Gramineae,Rice,"KOI, ORYZAE FRUCTUS",,,,,
40,Paeonia lactiflora Pallas,Paeoniaceae,Chinese peony,PAEONIAE RADIX,I～IV,45～100,II～IV,,
60,Paeonia suffruticosa Andrews,Paeoniaceae,,MOUTAN CORTEX,I〜IV,45〜110,II〜IV,,
53,Panax ginseng C. A. Mey.,Araliaceae,Ginseng,"GINSENG RADIX, GINSENG RADIX RUBRA",II～IV,75～120,II～IV,,
97,Panax japonicus C. A. Mey.,Araliaceae,Japanese ginseng,PANACIS JAPONICI RHIZOMA,Ⅱ～Ⅴ,55～140,Ⅱ～Ⅳ,,
86,Papaver bracteatum Lindl.,Papaveraceae,Iranian poppy,,Ｉ～IＶ,45〜110,II～IV,,
89,Papaver nudicaule L.,Papaveraceae,Iceland poppy,,Ｉ～IＶ,45〜130,II～IV,,
87,Papaver orientale L.,Papaveraceae,Oriental poppy,,Ｉ～IＶ,45〜110,II～IV,,
88,Papaver pseudo-orientale (Fedde) Medv.,Papaveraceae,Oriental poppy,,Ｉ～IＶ,45〜110,I〜IV,,
90,Papaver rhoeas L.,Papaveraceae,Corn poppy,,Ｉ～Ｖ,45〜170,II～IV,,
85,Papaver setigerum DC.,Papaveraceae,Opium poppy,,Ｉ～Ｖ,55～170,II～IV,,
84,Papaver somniferum L.,Papaveraceae,Opium poppy,OPIUM,Ｉ～Ｖ,55～170,II～IV,,
102,Patrinia scabiosaefolia Fisch.,Valerianaceae,Japanese valerian,PATRINIAE RADIX,Ⅰ～Ⅵ,45以上,Ⅰ～Ⅴ,,
49,Perilla frutescens (L.) Britton var. acuta Kudo,Labiatae,Purple common perilla,PERILLAE HERVA,I,45 〜 60,II,,
169,Peucedanum praeruptorum Dunn,Umbelliferae,,PEUCEDANI RADIX,,,,,
93,Pharbitis nil Choisy,Convolvulaceae,Morning grory,PHARBITIDIS SEMEN,II,75 〜 140,III 〜 V,,
8,Phellodendron amurense Ruprecht,Rutaceae,,PHELLODENDRI CORTEX,I〜V,45～140,II〜IV,,
99,Picrasma quassioides (D. Don) Benn.,Simaroubaceae,Quassia wood,PICRASMAE LIGNUM,Ⅰ以上,45以上,Ⅱ以上,,
54,Pinellia ternata Breitenb.,Araceae,Crowdipper,PINELLIAE TUBER,Ⅰ〜Ⅴ,55〜170,Ⅱ〜Ⅴ,,
41,Plantago asiatica Ｌ．,Plantaginaceae,Plantain,Plantago Seed,I～VI,45～170,II～IV,,
18,Platycodon glandiflorum (Jacq.) A. DC.,Campanulaceae,"Balloon flower, Chinese bellflower, Japanese bellflower",PLATYCODI RADIX,II～V,75～120,"III, IV",,
81,Plectranthus japonicus (Burm. fil.) Koidzumi,Labiatae,,PLECTRANTHI HERBA,Ⅱ～Ⅴ,65～170,Ⅱ～Ⅳ,,
132,Pogostemon cablin Bentham,Labiatae,,POGOSTEMONI HERBA,,,,,
44,Polygala senega L. var. latifolia Torr. et A. Gray,Polygalaceae,Senega (Seneca snakeroot),SENEGAEA RADIX,II 〜 IV,55 〜 120,II 〜 IV,,
152,Polygala tenuifolia Willdenow,Polygalaceae,Polygala Root,POLYGALAE RADIX,,,,,
109,Polygonum multiflorum Thunberg,Polygonaceae,,POLYGONI MULTIFLORI RADIX,,,,,
198,Polyporus umbellatus Fries,Polyporaceae,,POLYPORUS,,,,,
106,Poria cocos Wolf,Polyporaceae,Poria,PORIA,,,,,
12,Prunella vulgaris L. var. lilacina (Nakai) Nakai,Labiatae,Self-heal,PRUNELLAE SPICA,Ⅰ～Ⅵ,45以上,Ⅱ～Ⅴ,,
157,Prunus armeniaca Linné,Rosaceae,Apricot Kernel,ARMENIACAE SEMEN,,,,,
158,Prunus armeniaca Linné var. ansu Maximowicz,Rosaceae,Apricot Kernel,ARMENIACAE SEMEN,,,,,
188,Prunus jamasakura Siebold ex Koidzumi,Rosaceae,,PRUNI CORTEX,,,,,
177,Prunus persica Batsch,Rosaceae,Peach,PERSICAE SEMEN,,,,,
178,Prunus persica Batsch var. davidiana Maximowicz,Rosaceae,,PERSICAE SEMEN,,,,,
159,Prunus sibirica Linné,Rosaceae,Apricot Kernel,ARMENIACAE SEMEN,,,,,
189,Prunus verecunda Koehne,Rosaceae,,PRUNI CORTEX,,,,,
103,Pueraria lobata (Willd.) Ohwi,Leguminosae,Japanese kudzu vine,PUERARIAE RADIX,ＩI～Ｖ,55〜170,II～IV,,
133,Quercus acutissima Carruthers,Fagaceae,,QUERCUS CORTEX,,,,,
135,Quercus mongolica Fischer ex Ledebour var. crispula Ohashi,Fagaceae,,QUERCUS CORTEX,,,,,
134,Quercus serrata Murray,Fagaceae,,QUERCUS CORTEX,,,,,
136,Quercus variabilis Blume,Fagaceae,,QUERCUS CORTEX,,,,,
79,Rauwolfia serpentina Benth. ex Kurz,Apocynaceae,Snake-root devil-pepper,RAUWOLFIAE RADIX,Ⅴ，Ⅵ,140以上,Ⅵ以上,,
38,Rehmannia glutiosa Libosch. f. hueichingensis (Chao et Schih) Hsiao,Scrophulariaceae,Chinese foxglove,REHMANNIAE RADIX,II～V,65～120,II～IV,,
37,Rehmannia glutiosa Libosch. var. purpurea Makino,Scrophulariaceae,Glutinous rehmannia,REHMANNIAE RADIX,II～V,65～120,II～IV,,
50,Rheum palmatum Linne,Polygonaceae,(Chinese) Rhubarb,RHEI RHIZOMA,I〜Ill,45〜100,"II, III",,
59,Saposhnikovia divaricata Schischkin,Umbelliferae,,SAPOSHNIKOVIAE RADIX,I〜IV,65〜120,II〜IV,,
64,Saussurea lappa Clarke,Compositae,,SAUSSUREAE RADIX,II～III,90未満,II～IV,,
95,Schisandra chinensis (Turcz.) Baill.,Schisandraceae,,SCHISANDRAE FRUITS,I～IV,45～100,I～III,,
19,Schizonepeta tenuifolia Briq.,Labiatae,Japanese catnip,SCHIZONEPETAE SPICA,III～V,75～140,II～IV,,
66,Scopolia japonica Maxim.,Solanaceae,,SCOPOLIAE RHIZOMA,II～IV,75～120,II～IV,,
7,Scutellaria baicalensis Georgi,Labiatae,Skullcap (Chinese skullcap),SCUTELLARIAE RADIX,II～V,75～140,II～IV,,
161,Sesamum indicum Linné,Pedaliaceae,Sesame,SESAMI SEMEN,,,,,
58,Sinomenium acutum Rehder et Wilson,Menispermaceae,Orient vine,SINOMENI CAULIS ET RHIZOMA,Ⅳ～Ⅴ,100～170,Ⅱ～Ⅴ,,
145,Solanum tuberosum Linné,Solanaceae,Patato,KOI,,,,,
160,Sophora flavescens Aiton,Leguminosae,Sophora Root,SOPHORAE RADIX,,,,,
47,Swertia japonica Makino,Gentianaceae,,SWERTIAE HERBA,II〜V,75〜140,"II, III",,
111,Tribulus terrestris Linné,Zygophyllaceae,,TRIBULI FRUCTUS,,,,,
15,Trichosanthes bracteata (Lam.) Voigt,Cucurbitaceae,,TRICHOSANTHIS SEMEN,Ⅳ～Ⅵ,120以上,Ⅲ～Ⅴ,,
67,Uncaria rhynchophylla (Miq.) Miq.,Rubiaceae,,UNCARIAE UNCIS CAM RAMLUS,Ⅳ，Ⅴ,110以上,Ⅲ～Ⅴ,,
148,Ursus arctos Linné,Ursidae,Brown bear,FEL URSI,,,,,
14,Valeriana fauriei Briquet,Valerianaceae,Japanese valerian,VALERIANAE RADIX,I〜IV,45〜120,II〜V,,
34,Zanthoxylum piperitum (L.) DC.,Rutaceae,Japanese pepper,ZANTHOXYLI FRUCTUS,IV 〜 VI,100 〜 140,II 以上,,
143,Zea mays Linné,Gramineae,Corn,KOI,,,,,
105,Zingiber officinale Roscoe,Zingiberaceae,Ginger,"ZINGIBERIS RHIZOMA, ZINGIBERIS PROCESSUM RHIZOMA",,,,,
171,Zizyphus jujuba Miller var. inermis Rehder,Rhamnaceae,,ZIZYPHI FRUCTUS,,,,,
119,Zizyphus jujuba Miller var. spinosa Hu ex H. F. Chou,Rhamnaceae,,ZIZYPHI SEMEN,,,,,